air_temperature,air_humidity,soil_moisture,solar_radiation,ndvi,days_since_rain,wind_speed,risk_class
19.0,44.2,48.7,388.0,0.535,16.0,38.5,0
23.8,58.3,26.4,561.0,0.357,9.0,28.9,2
28.0,85.7,32.3,565.0,0.57,16.0,10.3,0
36.4,90.8,67.6,535.0,0.64,5.0,3.7,0
20.1,86.6,54.2,541.0,0.6,3.0,18.8,0
24.5,74.1,47.2,527.0,0.728,10.0,6.7,0
30.7,37.4,44.1,558.0,0.358,15.0,25.3,2
28.6,68.8,35.4,653.0,0.587,9.0,5.6,1
23.7,37.7,70.0,740.0,0.95,3.0,6.8,0
25.2,33.2,50.8,384.0,0.799,28.0,3.3,0
17.8,64.3,26.0,489.0,0.731,2.0,32.5,0
24.6,69.4,15.6,444.0,0.69,7.0,4.4,1
24.4,76.3,47.1,418.0,0.554,16.0,17.8,0
27.4,68.9,37.1,229.0,0.304,7.0,8.6,1
22.7,69.6,15.1,524.0,0.702,11.0,6.9,1
28.8,42.3,44.9,606.0,0.179,1.0,6.5,1
32.1,58.1,33.7,492.0,0.561,10.0,24.9,1
26.9,32.9,46.5,518.0,0.619,3.0,53.2,0
28.1,23.9,45.1,595.0,0.54,7.0,23.1,0
26.3,73.3,28.3,774.0,0.95,2.0,1.7,0
26.0,46.4,48.1,444.0,0.948,11.0,17.8,0
21.7,75.7,30.0,309.0,0.806,9.0,8.6,0
27.9,80.0,31.1,504.0,0.453,7.0,9.0,1
25.4,48.9,29.5,859.0,0.95,13.0,11.6,2
38.6,70.6,56.1,311.0,0.731,10.0,9.9,0
35.4,48.1,33.5,637.0,0.45,2.0,14.4,1
28.3,26.8,60.0,728.0,0.626,13.0,8.3,1
21.4,62.2,66.5,94.0,0.793,10.0,19.1,0
19.3,51.5,26.2,594.0,0.512,3.0,10.5,1
33.1,52.1,3.0,629.0,0.645,7.0,10.7,2
27.6,95.6,54.7,472.0,0.677,4.0,9.8,0
28.9,32.5,32.5,404.0,0.422,24.0,17.8,2
15.5,66.9,24.1,414.0,0.571,2.0,7.2,1
31.6,42.1,28.6,461.0,0.435,5.0,14.5,1
28.7,76.3,31.4,466.0,0.776,6.0,10.9,0
19.3,65.4,58.8,432.0,0.457,7.0,25.2,1
23.2,66.8,40.6,458.0,0.673,5.0,7.6,0
27.6,43.0,58.5,734.0,0.37,7.0,19.4,1
26.3,46.2,45.9,301.0,0.416,9.0,12.6,1
24.2,76.7,33.1,205.0,0.407,4.0,23.9,1
25.4,91.9,31.8,737.0,0.568,5.0,10.7,0
24.5,68.6,47.0,485.0,0.652,20.0,7.0,0
26.9,43.8,51.1,450.0,0.686,13.0,7.0,1
34.8,66.1,53.9,500.0,0.301,13.0,11.8,1
10.6,100.0,33.8,558.0,0.59,2.0,10.0,0
24.6,61.8,40.8,426.0,0.485,23.0,7.4,0
27.1,86.3,47.3,611.0,0.716,6.0,12.0,0
27.8,46.7,31.9,347.0,0.572,14.0,0.6,1
23.8,59.2,19.8,466.0,0.605,8.0,8.7,1
15.5,71.2,25.1,121.0,0.486,1.0,10.3,0
28.0,67.2,34.1,731.0,0.93,5.0,2.2,1
36.4,46.2,48.6,488.0,0.389,13.0,4.1,0
16.8,45.4,58.1,641.0,0.548,13.0,4.4,1
31.2,77.8,16.3,606.0,0.639,8.0,9.6,2
24.0,81.4,28.4,619.0,0.575,2.0,8.2,0
25.6,87.2,32.3,519.0,0.482,14.0,8.3,0
19.7,92.5,50.7,590.0,0.294,4.0,2.2,1
24.0,62.4,29.6,347.0,0.496,7.0,20.6,1
33.8,54.4,31.1,309.0,0.447,10.0,24.4,1
29.5,84.3,15.4,502.0,0.922,11.0,2.9,2
36.4,72.8,45.7,398.0,0.95,10.0,7.9,0
33.1,42.3,35.4,777.0,0.611,3.0,8.2,2
28.6,41.4,27.5,588.0,0.367,5.0,13.4,1
36.5,68.9,33.8,391.0,0.753,3.0,7.0,0
28.6,56.8,56.0,471.0,0.443,11.0,19.3,0
31.0,59.5,21.9,544.0,0.521,10.0,3.8,2
24.2,79.3,24.5,508.0,0.507,4.0,16.1,0
26.4,73.7,58.0,569.0,0.53,12.0,13.1,1
21.8,83.9,39.2,532.0,0.556,12.0,3.2,0
31.9,25.2,48.7,270.0,0.384,15.0,7.6,1
18.9,64.6,44.4,133.0,0.494,10.0,3.6,0
30.7,72.5,37.4,453.0,0.804,10.0,33.9,0
24.9,32.5,32.4,621.0,0.614,5.0,8.8,1
33.0,48.2,51.3,455.0,0.643,6.0,6.8,0
30.5,44.9,56.6,743.0,0.218,14.0,1.8,2
36.9,60.4,55.3,512.0,0.791,4.0,12.6,1
30.4,89.3,19.0,764.0,0.497,3.0,7.5,2
16.6,96.4,58.9,727.0,0.822,10.0,16.0,1
25.6,45.3,32.3,709.0,0.648,1.0,27.3,1
19.0,69.5,25.9,303.0,0.519,4.0,17.6,1
22.9,70.1,35.3,523.0,0.318,16.0,4.1,0
35.1,67.0,51.3,740.0,0.95,18.0,6.9,0
29.8,67.2,46.6,569.0,0.765,13.0,2.9,0
21.8,65.5,33.9,620.0,0.775,7.0,5.6,1
19.9,90.4,51.4,270.0,0.947,3.0,20.0,0
26.2,79.8,40.2,865.0,0.66,2.0,5.9,0
18.7,40.9,28.8,378.0,0.863,5.0,16.1,0
22.0,74.3,26.7,161.0,0.534,2.0,6.5,0
27.9,76.1,44.6,457.0,0.753,22.0,17.3,0
32.9,65.7,36.7,79.0,0.507,5.0,4.1,0
29.7,80.4,16.0,325.0,0.529,6.0,3.4,1
12.3,63.4,51.6,981.0,0.637,12.0,33.7,0
27.8,63.6,30.3,452.0,0.392,2.0,4.4,1
26.4,62.2,63.5,263.0,0.679,6.0,20.3,0
28.5,23.7,15.6,525.0,0.564,7.0,14.2,2
35.7,58.6,35.1,358.0,0.262,2.0,5.4,2
13.6,48.0,26.8,676.0,0.538,3.0,5.4,1
22.5,38.6,22.4,360.0,0.558,4.0,7.8,1
29.5,85.8,30.2,569.0,0.774,14.0,20.6,1
16.5,69.1,66.3,314.0,0.671,18.0,6.7,0
34.9,59.5,40.3,988.0,0.881,9.0,16.0,1
28.2,49.8,25.3,611.0,0.714,6.0,13.0,1
31.1,65.3,8.7,494.0,0.52,16.0,13.3,2
22.6,77.8,10.5,467.0,0.609,12.0,34.5,1
30.9,45.1,29.4,420.0,0.557,27.0,15.1,1
32.4,59.9,27.9,383.0,0.708,1.0,13.2,0
27.4,75.6,34.4,378.0,0.631,7.0,1.8,0
27.4,25.2,3.0,822.0,0.507,4.0,24.4,2
27.6,59.0,36.5,421.0,0.622,2.0,17.6,0
20.8,52.3,54.4,137.0,0.703,7.0,12.8,0
25.1,57.6,64.0,310.0,0.439,25.0,7.8,1
25.1,51.0,7.7,687.0,0.677,3.0,1.9,2
28.3,62.5,25.2,475.0,0.336,33.0,14.9,2
32.0,94.6,24.3,496.0,0.819,13.0,10.1,1
19.6,54.2,40.3,731.0,0.715,16.0,32.8,0
25.2,65.3,18.5,380.0,0.913,16.0,16.1,2
34.9,95.9,64.9,634.0,0.419,10.0,11.1,1
21.5,50.1,38.7,400.0,0.824,5.0,39.7,0
21.1,92.7,36.0,624.0,0.788,2.0,10.1,0
27.2,60.1,63.5,450.0,0.587,3.0,30.9,0
31.1,92.1,37.7,477.0,0.552,10.0,1.5,0
26.1,73.5,44.4,668.0,0.425,5.0,44.9,0
34.0,65.5,26.0,655.0,0.378,3.0,20.6,2
31.1,58.8,16.1,490.0,0.485,8.0,4.9,2
31.1,48.8,28.2,435.0,0.394,9.0,36.9,2
29.3,61.4,73.0,808.0,0.907,12.0,1.0,0
40.0,76.2,48.1,626.0,0.35,4.0,3.5,2
24.8,59.8,42.4,450.0,0.647,6.0,14.5,0
14.0,54.3,22.4,402.0,0.698,4.0,24.5,1
35.6,55.5,52.6,704.0,0.684,2.0,12.9,0
23.3,77.9,16.3,541.0,0.7,14.0,2.1,1
26.6,82.1,12.9,491.0,0.79,14.0,5.3,2
33.9,48.0,29.1,541.0,0.54,1.0,6.6,0
16.4,48.0,69.3,581.0,0.636,7.0,14.0,0
18.5,66.8,68.4,510.0,0.567,16.0,9.2,0
16.4,87.5,30.8,737.0,0.854,12.0,23.2,1
21.2,80.6,27.2,747.0,0.95,3.0,1.9,0
28.6,37.5,11.8,616.0,0.405,17.0,16.2,2
29.1,55.2,39.2,767.0,0.254,16.0,3.5,2
27.7,43.2,40.6,522.0,0.722,9.0,27.6,0
17.5,55.2,50.6,644.0,0.813,6.0,16.3,0
12.1,88.9,52.6,701.0,0.95,3.0,9.2,0
26.3,34.4,34.8,703.0,0.753,7.0,7.5,1
23.2,30.9,46.9,685.0,0.871,19.0,13.5,0
28.8,45.1,26.8,634.0,0.919,3.0,22.7,1
30.2,65.2,46.6,872.0,0.884,20.0,13.1,0
26.8,71.2,29.9,423.0,0.779,12.0,9.2,0
30.6,67.9,45.4,492.0,0.389,7.0,4.4,0
27.4,81.2,44.1,481.0,0.618,16.0,8.8,0
29.2,28.3,39.1,454.0,0.674,7.0,22.8,0
21.8,81.4,50.7,162.0,0.602,6.0,18.1,0
24.9,54.4,12.9,767.0,0.613,14.0,25.0,2
27.2,73.2,21.0,335.0,0.902,7.0,4.2,0
30.9,36.2,33.7,551.0,0.484,7.0,2.1,1
23.6,60.1,14.9,264.0,0.764,4.0,17.0,1
29.1,64.3,31.5,632.0,0.677,6.0,2.7,0
24.4,80.8,32.0,379.0,0.466,21.0,25.0,1
25.3,31.5,59.0,316.0,0.426,0.0,17.4,0
31.0,60.6,40.3,555.0,0.314,3.0,12.8,1
14.0,40.5,54.5,394.0,0.707,4.0,3.7,0
18.2,69.1,42.8,417.0,0.609,6.0,10.1,0
17.1,74.0,29.4,551.0,0.471,6.0,8.9,1
12.0,83.2,40.1,664.0,0.282,8.0,13.2,1
21.9,50.4,49.7,373.0,0.698,1.0,30.3,0
30.5,76.7,57.1,342.0,0.589,8.0,4.3,0
24.3,84.5,35.9,524.0,0.492,21.0,7.8,0
27.2,30.4,11.6,617.0,0.446,7.0,9.4,2
32.5,71.0,10.5,783.0,0.577,6.0,26.0,2
34.0,77.3,32.8,327.0,0.705,7.0,11.0,0
25.6,55.3,3.0,463.0,0.561,5.0,16.2,2
34.1,38.2,66.7,732.0,0.406,12.0,27.5,2
26.6,77.0,47.6,875.0,0.61,9.0,12.7,0
21.0,38.4,27.8,341.0,0.808,9.0,7.8,0
22.4,56.8,20.2,387.0,0.627,16.0,23.8,1
17.1,59.3,54.4,589.0,0.632,12.0,29.6,0
20.7,72.9,20.2,416.0,0.561,0.0,15.3,1
23.9,48.7,21.7,383.0,0.46,5.0,5.8,0
30.8,47.7,25.7,564.0,0.454,2.0,7.2,1
36.3,61.8,39.8,799.0,0.321,4.0,29.4,2
17.7,78.1,47.9,284.0,0.833,4.0,17.3,0
28.4,100.0,57.1,790.0,0.703,4.0,8.3,0
19.8,32.9,54.7,417.0,0.635,12.0,1.7,0
28.8,65.7,38.0,582.0,0.673,11.0,17.6,1
25.2,40.4,54.3,806.0,0.681,5.0,15.4,1
15.0,78.3,27.3,579.0,0.488,11.0,17.4,1
31.6,43.1,8.9,466.0,0.561,10.0,5.1,2
22.4,47.9,27.3,649.0,0.535,8.0,7.9,1
22.8,49.4,25.1,489.0,0.95,6.0,21.7,0
19.6,58.6,27.9,614.0,0.804,13.0,0.6,1
22.1,65.8,22.7,483.0,0.65,7.0,7.8,1
28.6,68.7,30.6,675.0,0.866,8.0,2.4,0
24.9,59.9,47.9,269.0,0.843,8.0,4.5,0
28.0,36.1,65.4,338.0,0.372,4.0,19.5,1
28.2,73.1,10.4,266.0,0.58,4.0,9.1,2
33.9,59.0,17.4,510.0,0.617,6.0,3.8,2
23.9,80.9,25.3,245.0,0.73,12.0,14.5,0
17.1,47.3,50.3,395.0,0.58,6.0,6.2,0
32.4,31.2,34.7,321.0,0.602,1.0,8.8,1
24.0,59.4,26.4,786.0,0.537,9.0,11.7,1
32.7,83.3,49.5,342.0,0.809,5.0,25.1,0
28.3,62.9,53.3,288.0,0.36,3.0,11.7,1
25.2,56.4,37.7,565.0,0.543,11.0,7.4,0
28.1,44.3,24.9,824.0,0.288,11.0,13.9,2
37.7,91.6,42.3,499.0,0.435,8.0,14.6,1
38.5,41.5,34.3,513.0,0.677,6.0,6.8,1
26.4,46.9,34.1,752.0,0.681,5.0,9.1,0
27.0,70.3,29.8,678.0,0.564,2.0,9.9,0
32.5,26.6,52.8,597.0,0.822,0.0,22.2,0
20.9,82.9,42.0,415.0,0.864,5.0,0.7,0
28.0,71.2,54.6,602.0,0.608,5.0,13.3,0
25.8,76.2,59.4,275.0,0.665,3.0,18.5,0
27.9,70.0,45.3,408.0,0.539,16.0,21.8,0
21.0,57.1,29.9,778.0,0.733,5.0,2.2,1
16.5,40.9,54.6,754.0,0.405,8.0,2.2,0
